participant_id,sub,cohort,task,excluded,exclusion_reason
sub-CC321480,CC321480,camcan_ccfrail,Movie,False,
sub-CC410026,CC410026,camcan_ccfrail,Movie,False,
sub-CC410292,CC410292,camcan_ccfrail,Movie,False,
sub-CC420163,CC420163,camcan_ccfrail,Movie,False,
sub-CC420822,CC420822,camcan_ccfrail,Movie,False,
sub-CC420839,CC420839,camcan_ccfrail,Movie,False,
sub-CC420905,CC420905,camcan_ccfrail,Movie,False,
sub-CC510181,CC510181,camcan_ccfrail,Movie,False,
sub-CC510240,CC510240,camcan_ccfrail,Movie,False,
sub-CC510300,CC510300,camcan_ccfrail,Movie,False,
sub-CC520407,CC520407,camcan_ccfrail,Movie,False,
sub-CC520447,CC520447,camcan_ccfrail,Movie,False,
sub-CC520542,CC520542,camcan_ccfrail,Movie,False,
sub-CC520589,CC520589,camcan_ccfrail,Movie,False,
sub-CC520666,CC520666,camcan_ccfrail,Movie,False,
sub-CC520669,CC520669,camcan_ccfrail,Movie,False,
sub-CC520712,CC520712,camcan_ccfrail,Movie,False,
sub-CC520801,CC520801,camcan_ccfrail,Movie,False,
sub-CC521066,CC521066,camcan_ccfrail,Movie,False,
sub-CC521094,CC521094,camcan_ccfrail,Movie,False,
sub-CC610256,CC610256,camcan_ccfrail,Movie,False,
sub-CC610386,CC610386,camcan_ccfrail,Movie,False,
sub-CC610563,CC610563,camcan_ccfrail,Movie,False,
sub-CC620139,CC620139,camcan_ccfrail,Movie,True,"fmriprep failed after 2:31, array index 23"
sub-CC620241,CC620241,camcan_ccfrail,Movie,False,
sub-CC620269,CC620269,camcan_ccfrail,Movie,False,
sub-CC620321,CC620321,camcan_ccfrail,Movie,False,
sub-CC620485,CC620485,camcan_ccfrail,Movie,False,
sub-CC620533,CC620533,camcan_ccfrail,Movie,False,
sub-CC620608,CC620608,camcan_ccfrail,Movie,False,
sub-CC620671,CC620671,camcan_ccfrail,Movie,False,
sub-CC620796,CC620796,camcan_ccfrail,Movie,False,
sub-CC620907,CC620907,camcan_ccfrail,Movie,False,
sub-CC620918,CC620918,camcan_ccfrail,Movie,False,
sub-CC620967,CC620967,camcan_ccfrail,Movie,False,
sub-CC620968,CC620968,camcan_ccfrail,Movie,False,
sub-CC621020,CC621020,camcan_ccfrail,Movie,False,
sub-CC621120,CC621120,camcan_ccfrail,Movie,False,
sub-CC621265,CC621265,camcan_ccfrail,Movie,False,
sub-CC621283,CC621283,camcan_ccfrail,Movie,False,
sub-CC621287,CC621287,camcan_ccfrail,Movie,False,
sub-CC621525,CC621525,camcan_ccfrail,Movie,False,
sub-CC711020,CC711020,camcan_ccfrail,Movie,False,
sub-CC720274,CC720274,camcan_ccfrail,Movie,False,
sub-CC720693,CC720693,camcan_ccfrail,Movie,False,
sub-CC720718,CC720718,camcan_ccfrail,Movie,False,
sub-CC720819,CC720819,camcan_ccfrail,Movie,False,
sub-CC721209,CC721209,camcan_ccfrail,Movie,False,
sub-CC721223,CC721223,camcan_ccfrail,Movie,False,
sub-CC721236,CC721236,camcan_ccfrail,Movie,False,
sub-CC721848,CC721848,camcan_ccfrail,Movie,False,
sub-CC721928,CC721928,camcan_ccfrail,Movie,False,
sub-CC722509,CC722509,camcan_ccfrail,Movie,False,
sub-CC722599,CC722599,camcan_ccfrail,Movie,False,
sub-CC820636,CC820636,camcan_ccfrail,Movie,False,
