participant_id,sub,cohort,task,excluded,exclusion_reason
sub-CC110033,CC110033,camcan,Movie,False,
sub-CC110037,CC110037,camcan,Movie,False,
sub-CC110045,CC110045,camcan,Movie,False,
sub-CC110056,CC110056,camcan,Movie,False,
sub-CC110069,CC110069,camcan,Movie,False,
sub-CC110087,CC110087,camcan,Movie,False,
sub-CC110098,CC110098,camcan,Movie,False,
sub-CC110101,CC110101,camcan,Movie,False,
sub-CC110126,CC110126,camcan,Movie,False,
sub-CC110174,CC110174,camcan,Movie,False,
sub-CC110182,CC110182,camcan,Movie,False,
sub-CC110187,CC110187,camcan,Movie,False,
sub-CC110319,CC110319,camcan,Movie,False,
sub-CC110411,CC110411,camcan,Movie,False,
sub-CC110606,CC110606,camcan,Movie,False,
sub-CC112141,CC112141,camcan,Movie,False,
sub-CC120008,CC120008,camcan,Movie,False,
sub-CC120049,CC120049,camcan,Movie,False,
sub-CC120061,CC120061,camcan,Movie,False,
sub-CC120065,CC120065,camcan,Movie,False,
sub-CC120120,CC120120,camcan,Movie,False,
sub-CC120123,CC120123,camcan,Movie,False,
sub-CC120166,CC120166,camcan,Movie,False,
sub-CC120182,CC120182,camcan,Movie,False,
sub-CC120208,CC120208,camcan,Movie,False,
sub-CC120218,CC120218,camcan,Movie,False,
sub-CC120234,CC120234,camcan,Movie,False,
sub-CC120264,CC120264,camcan,Movie,False,
sub-CC120276,CC120276,camcan,Movie,False,
sub-CC120286,CC120286,camcan,Movie,False,
sub-CC120309,CC120309,camcan,Movie,False,
sub-CC120313,CC120313,camcan,Movie,False,
sub-CC120319,CC120319,camcan,Movie,False,
sub-CC120347,CC120347,camcan,Movie,False,
sub-CC120376,CC120376,camcan,Movie,False,
sub-CC120409,CC120409,camcan,Movie,False,
sub-CC120462,CC120462,camcan,Movie,False,
sub-CC120469,CC120469,camcan,Movie,False,
sub-CC120470,CC120470,camcan,Movie,False,
sub-CC120550,CC120550,camcan,Movie,False,
sub-CC120640,CC120640,camcan,Movie,False,
sub-CC120727,CC120727,camcan,Movie,False,
sub-CC120764,CC120764,camcan,Movie,False,
sub-CC120795,CC120795,camcan,Movie,False,
sub-CC120816,CC120816,camcan,Movie,False,
sub-CC120987,CC120987,camcan,Movie,False,
sub-CC121106,CC121106,camcan,Movie,False,
sub-CC121111,CC121111,camcan,Movie,False,
sub-CC121144,CC121144,camcan,Movie,False,
sub-CC121158,CC121158,camcan,Movie,False,
sub-CC121194,CC121194,camcan,Movie,False,
sub-CC121200,CC121200,camcan,Movie,False,
sub-CC121317,CC121317,camcan,Movie,False,
sub-CC121397,CC121397,camcan,Movie,False,
sub-CC121411,CC121411,camcan,Movie,False,
sub-CC121428,CC121428,camcan,Movie,False,
sub-CC121479,CC121479,camcan,Movie,False,
sub-CC121685,CC121685,camcan,Movie,False,
sub-CC121795,CC121795,camcan,Movie,False,
sub-CC122172,CC122172,camcan,Movie,False,
sub-CC122405,CC122405,camcan,Movie,False,
sub-CC122620,CC122620,camcan,Movie,False,
sub-CC210023,CC210023,camcan,Movie,False,
sub-CC210051,CC210051,camcan,Movie,False,
sub-CC210088,CC210088,camcan,Movie,False,
sub-CC210124,CC210124,camcan,Movie,False,
sub-CC210148,CC210148,camcan,Movie,False,
sub-CC210172,CC210172,camcan,Movie,False,
sub-CC210182,CC210182,camcan,Movie,False,
sub-CC210250,CC210250,camcan,Movie,False,
sub-CC210304,CC210304,camcan,Movie,False,
sub-CC210314,CC210314,camcan,Movie,False,
sub-CC210422,CC210422,camcan,Movie,False,
sub-CC210519,CC210519,camcan,Movie,False,
sub-CC210526,CC210526,camcan,Movie,False,
sub-CC210617,CC210617,camcan,Movie,False,
sub-CC210657,CC210657,camcan,Movie,False,
sub-CC212153,CC212153,camcan,Movie,False,
sub-CC220098,CC220098,camcan,Movie,False,
sub-CC220107,CC220107,camcan,Movie,False,
sub-CC220115,CC220115,camcan,Movie,False,
sub-CC220132,CC220132,camcan,Movie,False,
sub-CC220151,CC220151,camcan,Movie,False,
sub-CC220198,CC220198,camcan,Movie,False,
sub-CC220203,CC220203,camcan,Movie,False,
