participant_id,sub,cohort,task,excluded,exclusion_reason,end_movie
sub-01,01,cneuromod,s01e01a,False,,882.08
sub-01,01,cneuromod,s01e01b,False,,882.08
sub-01,01,cneuromod,s01e02a,False,,718.18
sub-01,01,cneuromod,s01e02b,False,,718.18
sub-01,01,cneuromod,s01e03a,False,,703.28
sub-01,01,cneuromod,s01e03b,False,,703.28
sub-01,01,cneuromod,s01e04a,False,,749.47
sub-01,01,cneuromod,s01e04b,False,,749.47
sub-01,01,cneuromod,s01e05a,False,,697.32
sub-01,01,cneuromod,s01e05b,False,,697.32
sub-01,01,cneuromod,s01e06a,False,,727.12
sub-01,01,cneuromod,s01e06b,False,,727.12
sub-01,01,cneuromod,s01e07a,False,,734.57
sub-01,01,cneuromod,s01e07b,False,,734.57
sub-01,01,cneuromod,s01e08a,False,,709.24
sub-01,01,cneuromod,s01e08b,False,,709.24
sub-01,01,cneuromod,s01e09a,False,,697.32
sub-01,01,cneuromod,s01e09b,False,,697.32
sub-01,01,cneuromod,s01e10a,False,,739.04
sub-01,01,cneuromod,s01e10b,False,,739.04
sub-01,01,cneuromod,s01e11a,False,,710.73
sub-01,01,cneuromod,s01e11b,False,,710.73
sub-01,01,cneuromod,s01e12a,False,,701.79
sub-01,01,cneuromod,s01e12b,False,,701.79
sub-01,01,cneuromod,s01e13a,False,,697.32
sub-01,01,cneuromod,s01e13b,False,,697.32
sub-01,01,cneuromod,s01e14a,False,,731.59
sub-01,01,cneuromod,s01e14b,False,,731.59
sub-01,01,cneuromod,s01e15a,False,,710.73
sub-01,01,cneuromod,s01e15b,False,,710.73
sub-01,01,cneuromod,s01e16a,False,,719.67
sub-01,01,cneuromod,s01e16b,False,,719.67
sub-01,01,cneuromod,s01e17a,False,,719.67
sub-01,01,cneuromod,s01e17b,False,,719.67
sub-01,01,cneuromod,s01e18a,False,,740.53
sub-01,01,cneuromod,s01e18b,False,,740.53
sub-01,01,cneuromod,s01e19a,False,,685.4
sub-01,01,cneuromod,s01e19b,False,,685.4
sub-01,01,cneuromod,s01e20a,False,,685.4
sub-01,01,cneuromod,s01e20b,False,,685.4
