participant_id,sub,cohort,task,excluded,exclusion_reason
sub-1,1,ds002837,500daysofsummer,False,
sub-2,2,ds002837,500daysofsummer,False,
sub-3,3,ds002837,500daysofsummer,False,
sub-4,4,ds002837,500daysofsummer,False,
sub-5,5,ds002837,500daysofsummer,False,
sub-6,6,ds002837,500daysofsummer,False,
sub-7,7,ds002837,500daysofsummer,False,
sub-8,8,ds002837,500daysofsummer,False,
sub-9,9,ds002837,500daysofsummer,False,
sub-10,10,ds002837,500daysofsummer,False,
sub-11,11,ds002837,500daysofsummer,False,
sub-12,12,ds002837,500daysofsummer,False,
sub-13,13,ds002837,500daysofsummer,False,
sub-14,14,ds002837,500daysofsummer,False,
sub-15,15,ds002837,500daysofsummer,False,
sub-16,16,ds002837,500daysofsummer,False,
sub-17,17,ds002837,500daysofsummer,False,
sub-18,18,ds002837,500daysofsummer,False,
sub-19,19,ds002837,500daysofsummer,False,
sub-20,20,ds002837,500daysofsummer,False,
sub-21,21,ds002837,citizenfour,False,
sub-22,22,ds002837,citizenfour,False,
sub-23,23,ds002837,citizenfour,False,
sub-24,24,ds002837,citizenfour,False,
sub-25,25,ds002837,citizenfour,False,
sub-26,26,ds002837,citizenfour,False,
sub-27,27,ds002837,citizenfour,False,
sub-28,28,ds002837,citizenfour,False,
sub-29,29,ds002837,citizenfour,False,
sub-30,30,ds002837,citizenfour,False,
sub-31,31,ds002837,citizenfour,False,
sub-32,32,ds002837,citizenfour,False,
sub-33,33,ds002837,citizenfour,False,
sub-34,34,ds002837,citizenfour,False,
sub-35,35,ds002837,citizenfour,False,
sub-36,36,ds002837,citizenfour,False,
sub-37,37,ds002837,citizenfour,False,
sub-38,38,ds002837,citizenfour,False,
sub-39,39,ds002837,theusualsuspects,False,
sub-40,40,ds002837,theusualsuspects,False,
sub-41,41,ds002837,theusualsuspects,False,
sub-42,42,ds002837,theusualsuspects,False,
sub-43,43,ds002837,theusualsuspects,False,
sub-44,44,ds002837,theusualsuspects,False,
sub-45,45,ds002837,pulpfiction,False,
sub-46,46,ds002837,pulpfiction,False,
sub-47,47,ds002837,pulpfiction,False,
sub-48,48,ds002837,pulpfiction,False,
sub-49,49,ds002837,pulpfiction,False,
sub-50,50,ds002837,pulpfiction,False,
sub-51,51,ds002837,theshawshankredemption,False,
sub-52,52,ds002837,theshawshankredemption,False,
sub-53,53,ds002837,theshawshankredemption,False,
sub-54,54,ds002837,theshawshankredemption,False,
sub-55,55,ds002837,theshawshankredemption,False,
sub-56,56,ds002837,theshawshankredemption,False,
sub-57,57,ds002837,theprestige,False,
sub-58,58,ds002837,theprestige,False,
sub-59,59,ds002837,theprestige,False,
sub-60,60,ds002837,theprestige,False,
sub-61,61,ds002837,theprestige,False,
sub-62,62,ds002837,theprestige,False,
sub-63,63,ds002837,backtothefuture,False,
sub-64,64,ds002837,backtothefuture,False,
sub-65,65,ds002837,backtothefuture,False,
sub-66,66,ds002837,backtothefuture,False,
sub-67,67,ds002837,backtothefuture,False,
sub-68,68,ds002837,backtothefuture,False,
sub-69,69,ds002837,split,False,
sub-70,70,ds002837,split,False,
sub-71,71,ds002837,split,False,
sub-72,72,ds002837,split,False,
sub-73,73,ds002837,split,False,
sub-74,74,ds002837,split,False,
sub-75,75,ds002837,littlemisssunshine,False,
sub-76,76,ds002837,littlemisssunshine,False,
sub-77,77,ds002837,littlemisssunshine,False,
sub-78,78,ds002837,littlemisssunshine,False,
sub-79,79,ds002837,littlemisssunshine,False,
sub-80,80,ds002837,littlemisssunshine,False,
sub-81,81,ds002837,12yearsaslave,False,
sub-82,82,ds002837,12yearsaslave,False,
sub-83,83,ds002837,12yearsaslave,False,
sub-84,84,ds002837,12yearsaslave,False,
sub-85,85,ds002837,12yearsaslave,False,
sub-86,86,ds002837,12yearsaslave,False,
